relative_path,size_bytes,is_binary,line_or_chunk_count,status,error
".dockerignore",132,0,12,ok,""
".git\config",369,0,14,ok,""
".git\description",73,0,1,ok,""
".git\gk\config",61,0,2,ok,""
".git\HEAD",21,0,1,ok,""
".git\hooks\applypatch-msg.sample",478,0,15,ok,""
".git\hooks\commit-msg.sample",896,0,24,ok,""
".git\hooks\fsmonitor-watchman.sample",4726,0,174,ok,""
".git\hooks\post-update.sample",189,0,8,ok,""
".git\hooks\pre-applypatch.sample",424,0,14,ok,""
".git\hooks\pre-commit.sample",1649,0,49,ok,""
".git\hooks\pre-merge-commit.sample",416,0,13,ok,""
".git\hooks\prepare-commit-msg.sample",1492,0,42,ok,""
".git\hooks\pre-push.sample",1374,0,53,ok,""
".git\hooks\pre-rebase.sample",4898,0,169,ok,""
".git\hooks\pre-receive.sample",544,0,24,ok,""
".git\hooks\push-to-checkout.sample",2783,0,78,ok,""
".git\hooks\sendemail-validate.sample",2308,0,77,ok,""
".git\hooks\update.sample",3650,0,128,ok,""
".git\index",109342,1,6834,ok,""
".git\info\exclude",240,0,6,ok,""
".git\logs\HEAD",271,0,1,ok,""
".git\logs\refs\heads\main",271,0,1,ok,""
".git\logs\refs\remotes\origin\HEAD",271,0,1,ok,""
".git\objects\pack\pack-47d356dd83aab069c64df01fafa4d604dffbd2f9.idx",31984,1,1999,ok,""
".git\objects\pack\pack-47d356dd83aab069c64df01fafa4d604dffbd2f9.pack",220409899,1,13775619,ok,""
".git\objects\pack\pack-47d356dd83aab069c64df01fafa4d604dffbd2f9.rev",4468,1,280,ok,""
".git\packed-refs",112,0,2,ok,""
".git\refs\heads\main",41,0,1,ok,""
".git\refs\remotes\origin\HEAD",30,0,1,ok,""
".gitattributes",68,0,2,ok,""
".gitignore",3910,0,181,ok,""
"ai_pedia_mcp_server\.gitignore",119,0,10,ok,""
"ai_pedia_mcp_server\.python-version",6,0,1,ok,""
"ai_pedia_mcp_server\__init__.py",0,0,0,ok,""
"ai_pedia_mcp_server\client.py",5664,0,175,ok,""
"ai_pedia_mcp_server\logs\python_check_errors.jsonl",91215,0,114,ok,""
"ai_pedia_mcp_server\main.py",895,0,35,ok,""
"ai_pedia_mcp_server\mcp_tools\__init__.py",26,0,1,ok,""
"ai_pedia_mcp_server\mcp_tools\python_checker.py",3966,0,126,ok,""
"ai_pedia_mcp_server\mcp_tools\rag_search.py",4534,0,144,ok,""
"ai_pedia_mcp_server\pyproject.toml",200,0,9,ok,""
"ai_pedia_mcp_server\README.md",0,0,0,ok,""
"ai_pedia_mcp_server\uv.lock",86897,0,629,ok,""
"config.py",2406,0,63,ok,""
"configs\eval_topics.json",5098,0,121,ok,""
"data\assets\master_template.pptx",604197,1,37763,ok,""
"data\generated_code\assets\actual_vs_predicted_plot.png",30058,1,1879,ok,""
"data\generated_code\assets\actual_vs_predicted_salary.png",55742,1,3484,ok,""
"data\generated_code\assets\chapter2_data.csv",4000,0,101,ok,""
"data\generated_code\assets\chapter3_dataset.csv",197200,0,1001,ok,""
"data\generated_code\assets\complexity_analysis.png",25818,1,1614,ok,""
"data\generated_code\assets\confusion_matrix.png",18059,1,1129,ok,""
"data\generated_code\assets\feature_importance.png",25088,1,1568,ok,""
"data\generated_code\assets\generated_code_3.png",5404,1,338,ok,""
"data\generated_code\assets\generated_code_4.png",5018,1,314,ok,""
"data\generated_code\assets\generated_dataset.csv",3794,0,101,ok,""
"data\generated_code\assets\housing_data.csv",8648,0,201,ok,""
"data\generated_code\assets\housing_relationships.png",40897,1,2557,ok,""
"data\generated_code\assets\linear_regression_data.csv",3913,0,101,ok,""
"data\generated_code\assets\linear_regression_fit.png",42747,1,2672,ok,""
"data\generated_code\assets\linear_regression_fitted_line.png",37198,1,2325,ok,""
"data\generated_code\assets\linear_regression_plot.png",44021,1,2752,ok,""
"data\generated_code\assets\linear_regression_residuals.png",23877,1,1493,ok,""
"data\generated_code\assets\linear_regression_sample_data.png",27916,1,1745,ok,""
"data\generated_code\assets\linear_regression_summary.txt",0,0,0,ok,""
"data\generated_code\assets\linear_regression_test_plot.png",27289,1,1706,ok,""
"data\generated_code\assets\ml_regression_analysis.png",99335,1,6209,ok,""
"data\generated_code\assets\model_metrics.txt",178,0,7,ok,""
"data\generated_code\assets\multi_linear_data.csv",5963,0,101,ok,""
"data\generated_code\assets\multi_linear_plot.png",28771,1,1799,ok,""
"data\generated_code\assets\multiple_linear_regression_data.csv",5948,0,101,ok,""
"data\generated_code\assets\multiple_linear_regression_plot.png",31875,1,1993,ok,""
"data\generated_code\assets\polynomial_regression_data.csv",3771,0,101,ok,""
"data\generated_code\assets\polynomial_regression_plot.png",43786,1,2737,ok,""
