model,setting,total_questions,correct,accuracy,delta_vs_pre
microsoft/Phi-3-mini-4k-instruct,prelearn,200,137,0.685,
microsoft/Phi-3-mini-4k-instruct,postlearn,200,192,0.96,0.275
microsoft/Phi-3.5-mini-instruct,prelearn,200,185,0.925,
microsoft/Phi-3.5-mini-instruct,postlearn,200,193,0.965,0.04
Qwen/Qwen2.5-3B-Instruct,prelearn,200,150,0.75,
Qwen/Qwen2.5-3B-Instruct,postlearn,200,193,0.965,0.215
Qwen/Qwen2.5-1.5B-Instruct,prelearn,200,158,0.79,
Qwen/Qwen2.5-1.5B-Instruct,postlearn,200,196,0.98,0.19
TinyLlama/TinyLlama-1.1B-Chat-v1.0,prelearn,200,55,0.275,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,postlearn,200,18,0.09,-0.185
